Ticker,Name,Score,PBR,PER,ROE,Sector
3280.T,STRUST CO LIMITED,12.81,0.63,3.02,24.53,Real Estate
2220.T,KAMEDA SEIKA CO,12.18,0.83,3.08,31.04,Consumer Defensive
3192.T,SHIROHATO CO LTD,7.23,0.77,3.7,20.58,Consumer Cyclical
2700.T,KITOKU SHINRYO CO,7.14,1.04,4.56,33.96,Consumer Defensive
1848.T,FUJI P.S CORPORATION,6.79,0.9,4.05,24.77,Industrials
3608.T,TSI HOLDINGS CO LTD,6.69,0.65,4.45,19.28,Consumer Cyclical
2286.T,HAYASHIKANE SANGYO CO,6.36,0.5,4.14,13.27,Consumer Defensive
2418.T,TSUKADA GLOBAL HOLDINGS INC,5.73,0.79,4.3,19.54,Consumer Cyclical
1798.T,MORIYA CORPORATION,3.94,0.82,5.24,16.91,Industrials
3020.T,APPLIED CO.LTD,3.58,0.92,5.48,18.04,Technology
2993.T,CHOEI INC,3.54,0.89,5.49,17.25,Real Estate
3004.T,SHINYEI KAISHA,3.36,0.98,5.55,18.32,Industrials
2112.T,ENSUIKO SUGAR REFINING CO,3.34,0.83,5.77,15.94,Consumer Defensive
1662.T,JAPAN PETROLEUM EXPLORATION CO ,3.09,0.91,5.67,15.95,Energy
2429.T,WORLD HOLDINGS CO LTD,2.71,0.94,6.51,16.64,Industrials
2708.T,KUZE CO LTD,2.66,1.18,6.36,19.97,Consumer Defensive
3277.T,SANSEI LANDIC CO LTD,2.6,0.79,5.88,12.13,Real Estate
3494.T,MULLION CO LTD,2.58,0.61,6.4,10.09,Real Estate
2432.T,DENA CO LTD,2.57,1.04,6.46,17.24,Industrials
3143.T,O WILL CORPORATION,2.56,1.13,6.45,18.77,Consumer Defensive
1518.T,MITSUI MATSUSHIMA HOLDINGS CO L,2.53,1.06,7.11,19.05,Energy
3441.T,SANNO CO LTD,2.42,0.74,7.09,12.74,Industrials
3495.T,KORYOJYUHAN CO LTD,2.27,1.12,6.95,17.72,Real Estate
3538.T,WILLPLUS HOLDINGS CORPORATION,2.17,0.88,6.71,12.81,Consumer Cyclical
2763.T,FTGROUP CO LTD,2.12,1.19,7.17,18.06,Technology
2415.T,HUMAN HLDGS CO.LTD,2.09,1.08,7.12,16.06,Consumer Defensive
3375.T,ZOA CORPORATION,2.07,0.77,7.1,11.35,Technology
3242.T,URBANET CORPORATION CO. LTD.,1.98,1.08,10.15,21.82,Real Estate
3177.T,ARIGATOU SERVICES COMPANY LIMIT,1.97,1.07,7.73,16.32,Consumer Cyclical
2813.T,WAKOU SHOKUHIN CO,1.9,0.88,7.54,12.67,Consumer Defensive
1850.T,NANKAI TATSUMURA CONSTRUCTION C,1.85,0.83,7.42,11.44,Industrials
2602.T,NISSHIN OILLIO GROUP LTD,1.83,0.88,7.63,12.35,Consumer Defensive
2060.T,FEED ONE CO LTD,1.81,0.73,8.37,11.07,Consumer Defensive
3321.T,MITACHI CO LTD,1.79,1.02,7.71,14.07,Technology
3607.T,KURAUDIA HOLDINGS CO LTD,1.73,0.67,10.1,11.67,Consumer Cyclical
3184.T,INTERNATIONAL CONGLOMERATE DSB ,1.71,0.86,7.82,11.54,Consumer Cyclical
3089.T,TECHNO ALPHA CO LTD,1.69,0.97,11.77,19.31,Technology
1780.T,YAMAURA CORP,1.68,1.13,7.98,15.21,Industrials
3054.T,HYPER INC,1.64,0.9,9.5,14.01,Technology
2533.T,OENON HOLDINGS INC,1.61,1.07,8.2,14.04,Consumer Defensive
1301.T,KYOKUYO CO LTD,1.6,0.85,8.76,11.92,Consumer Defensive
3139.T,LACTO JAPAN CO.LTD,1.57,1.1,8.33,14.38,Consumer Defensive
