Ticker,銘柄名,Magic_Score,Mix_Coeff,ROE,PER,PBR
2220.T,亀田製菓,5.0,2.55,31.04,3.08,0.83
3280.T,エストラスト,8.0,1.92,24.53,3.02,0.63
2700.T,木徳神糧,10.0,4.76,33.96,4.56,1.04
1848.T,富士ピー・エス,10.0,3.65,24.77,4.05,0.9
3192.T,白鳩,13.0,2.85,20.58,3.7,0.77
2418.T,ツカダ・グローバルホールディング,18.0,3.41,19.54,4.3,0.79
3608.T,ＴＳＩホールディングス,21.0,2.88,19.28,4.45,0.65
2981.T,ランディックス,24.0,8.77,24.79,6.29,1.39
2991.T,ランドネット,28.0,8.35,23.72,6.35,1.31
2708.T,久世,32.0,7.52,19.97,6.36,1.18
3004.T,神栄,33.0,5.45,18.32,5.55,0.98
3020.T,アプライド,34.0,5.04,18.04,5.48,0.92
2993.T,長栄,37.0,4.88,17.25,5.49,0.89
3452.T,ビーロット,37.0,9.04,18.58,6.29,1.44
1798.T,守谷商会,37.0,4.29,16.91,5.24,0.82
3143.T,オーウイル,40.0,7.32,18.77,6.45,1.13
1662.T,石油資源開発,46.0,5.15,15.95,5.67,0.91
2112.T,塩水港精糖,48.0,4.77,15.94,5.77,0.83
3640.T,電算,48.0,11.44,29.73,7.82,1.46
1518.T,三井松島ホールディングス,49.0,7.53,19.05,7.11,1.06
2432.T,ディー・エヌ・エー,50.0,6.71,17.24,6.46,1.04
2429.T,ワールドホールディングス,53.0,6.13,16.64,6.51,0.94
3495.T,香陵住販,54.0,7.79,17.72,6.95,1.12
2286.T,林兼産業,56.0,2.09,13.27,4.14,0.5
2763.T,エフティグループ,58.0,8.51,18.06,7.17,1.19
2415.T,ヒューマンホールディングス,66.0,7.7,16.06,7.12,1.08
2924.T,イフジ産業,67.0,11.47,18.71,8.08,1.42
3076.T,あい　ホールディングス,68.0,8.54,14.17,6.61,1.29
3241.T,ウィル,69.0,10.24,18.1,8.04,1.27
3465.T,ケイアイスター不動産,70.0,12.3,18.97,8.34,1.48
3177.T,ありがとうサービス,72.0,8.26,16.32,7.73,1.07
3416.T,ピクスタ,73.0,6.84,12.21,4.93,1.39
1780.T,ヤマウラ,82.0,9.05,15.21,7.98,1.13
3277.T,サンセイランディック,82.0,4.66,12.13,5.88,0.79
3538.T,ウイルプラスホールディングス,83.0,5.91,12.81,6.71,0.88
3321.T,ミタチ産業,84.0,7.85,14.07,7.71,1.02
3441.T,山王,89.0,5.27,12.74,7.09,0.74
3139.T,ラクト・ジャパン,93.0,9.15,14.38,8.33,1.1
2533.T,オエノンホールディングス,94.0,8.74,14.04,8.2,1.07
2813.T,和弘食品,97.0,6.66,12.67,7.54,0.88
2789.T,カルラ,102.0,10.95,14.21,8.69,1.26
2602.T,日清オイリオグループ,102.0,6.75,12.35,7.63,0.88
3242.T,アーバネットコーポレーション,103.0,11.01,21.82,10.15,1.08
1964.T,中外炉工業,115.0,11.25,15.66,9.64,1.17
3526.T,芦森工業,118.0,8.95,13.79,8.98,1.0
2982.T,ＡＤワークスグループ,118.0,10.24,14.84,9.5,1.08
3375.T,ＺＯＡ,118.0,5.49,11.35,7.1,0.77
1850.T,南海辰村建設,120.0,6.19,11.44,7.42,0.83
1911.T,住友林業,120.0,10.11,13.88,9.14,1.11
1870.T,矢作建設工業,122.0,13.58,14.98,9.76,1.39
3184.T,ＩＣＤＡホールディングス,123.0,6.74,11.54,7.82,0.86
3054.T,ハイパー,124.0,8.52,14.01,9.5,0.9
3457.T,Ａｎｄ　Ｄｏホールディングス,129.0,11.53,12.99,9.26,1.25
2498.T,オリエンタルコンサルタンツホールディングス,130.0,13.6,14.44,10.05,1.35
2337.T,いちご,130.0,14.41,13.94,9.65,1.49
1301.T,極洋,134.0,7.47,11.92,8.76,0.85
3034.T,クオールホールディングス,139.0,15.96,16.29,10.75,1.48
3089.T,テクノアルファ,142.0,11.39,19.31,11.77,0.97
3294.T,イーグランド,143.0,11.03,13.96,10.27,1.07
3494.T,マリオン,145.0,3.91,10.09,6.4,0.61
1430.T,ファーストコーポレーション,145.0,13.13,13.27,10.13,1.3
2060.T,フィード・ワン,147.0,6.12,11.07,8.37,0.73
2179.T,成学社,148.0,11.41,12.43,9.81,1.16
