Ticker,銘柄名,PBR,PER,ROE
1301.T,極洋,0.85196036,8.76447,11.9160004
1333.T,マルハニチロ,0.91942036,9.723468,10.71
1381.T,アクシーズ,0.9617017,12.53141,10.371
1662.T,石油資源開発,0.90947163,5.6661067,15.946001
1788.T,三東工業社,0.98971605,14.927381,10.5500005
1798.T,守谷商会,0.8189866,5.244143,16.906
1848.T,富士ピー・エス,0.90129554,4.0454803,24.766001000000003
1850.T,南海辰村建設,0.833165,7.423946,11.437
1879.T,新日本建設,0.9475937,8.737573,11.326
2112.T,塩水港精糖,0.8255416,5.7722807,15.939
2060.T,フィード・ワン,0.73056436,8.372781,11.071999
2121.T,ＭＩＸＩ,0.98199505,10.518122,10.026
2220.T,亀田製菓,0.8268481,3.0831792,31.041
2286.T,林兼産業,0.5041088,4.138421,13.274
2418.T,ツカダ・グローバルホールディング,0.7935156,4.2953315,19.542
2429.T,ワールドホールディングス,0.94230866,6.50653,16.641001
2475.T,ＷＤＢホールディングス,0.96961766,10.3799095,10.476
2483.T,翻訳センター,0.94276315,8.780127,11.186
2602.T,日清オイリオグループ,0.88463557,7.63143,12.347999
2804.T,ブルドックソース,0.94391847,9.811654,10.389
2813.T,和弘食品,0.88430023,7.536321,12.667
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,0.8196631,8.649646,10.159001
2993.T,長栄,0.88798594,5.4930787,17.251
2999.T,ホームポジション,0.7809595,11.269249,11.911
3004.T,神栄,0.9813954,5.55334,18.318
3020.T,アプライド,0.92026246,5.47834,18.041999999999998
3024.T,クリエイト,0.90560246,9.135875,10.3760004
3054.T,ハイパー,0.8967914,9.500329,14.007
3089.T,テクノアルファ,0.9675944,11.7718115,19.306
3157.T,ジオリーブグループ,0.87181944,8.636314,10.464
3184.T,ＩＣＤＡホールディングス,0.8621117,7.8186083,11.536
3192.T,白鳩,0.768605,3.7032323,20.577998
3277.T,サンセイランディック,0.79182446,5.883887,12.1300004
3280.T,エストラスト,0.63401157,3.0216632,24.531999
3375.T,ＺＯＡ,0.7738985,7.1000495,11.350999999999999
3441.T,山王,0.7435016,7.091541,12.738
3443.T,川田テクノロジーズ,0.91671544,9.136494,10.3360005
3477.T,フォーライフ,0.8765705,8.442615,10.775
3494.T,マリオン,0.6116097,6.398349,10.091999999999999
3526.T,芦森工業,0.9972218,8.976739,13.789000000000001
3538.T,ウイルプラスホールディングス,0.8814994,6.7062764,12.814
